metric,value
churn_percentage,26.537
avg_monthly_charges_contract_Month-to-month,66.398
avg_monthly_charges_contract_One year,65.049
avg_monthly_charges_contract_Two year,60.77
segment_count_new,2186
segment_count_regular,1024
segment_count_loyal,1594
segment_count_champion,2239
internet_dist_Fiber optic,3096
internet_dist_DSL,2421
internet_dist_No,1526
pivot_tenure_0-12,"{'0': 1149, '1': 1037}"
pivot_tenure_13-24,"{'0': 730, '1': 294}"
pivot_tenure_25-48,"{'0': 1269, '1': 325}"
pivot_tenure_49-60,"{'0': 712, '1': 120}"
pivot_tenure_61+,"{'0': 1314, '1': 93}"
