time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,14.8,54,1.6,2025-12-11,0,mild,13.72
2025-12-11 01:00:00,14.2,53,1.3,2025-12-11,1,mild,13.139999999999999
2025-12-11 02:00:00,13.7,53,1.5,2025-12-11,2,mild,12.639999999999999
2025-12-11 03:00:00,13.3,53,1.6,2025-12-11,3,mild,12.24
2025-12-11 04:00:00,12.9,55,1.8,2025-12-11,4,mild,11.8
2025-12-11 05:00:00,12.5,57,1.5,2025-12-11,5,mild,11.36
2025-12-11 06:00:00,12.0,58,1.8,2025-12-11,6,mild,10.84
2025-12-11 07:00:00,13.0,59,2.5,2025-12-11,7,mild,11.82
2025-12-11 08:00:00,17.2,58,1.8,2025-12-11,8,mild,16.04
2025-12-11 09:00:00,21.6,45,6.9,2025-12-11,9,warm,20.700000000000003
2025-12-11 10:00:00,24.3,36,10.0,2025-12-11,10,warm,23.580000000000002
2025-12-11 11:00:00,26.2,28,10.7,2025-12-11,11,warm,25.64
2025-12-11 12:00:00,27.5,23,9.4,2025-12-11,12,warm,27.04
2025-12-11 13:00:00,28.1,21,8.4,2025-12-11,13,warm,27.68
2025-12-11 14:00:00,28.3,20,7.7,2025-12-11,14,warm,27.900000000000002
2025-12-11 15:00:00,27.8,21,7.3,2025-12-11,15,warm,27.38
2025-12-11 16:00:00,26.9,22,6.3,2025-12-11,16,warm,26.459999999999997
2025-12-11 17:00:00,24.0,32,3.8,2025-12-11,17,warm,23.36
2025-12-11 18:00:00,21.4,39,4.1,2025-12-11,18,warm,20.619999999999997
2025-12-11 19:00:00,19.9,40,4.9,2025-12-11,19,mild,19.099999999999998
2025-12-11 20:00:00,18.4,43,4.8,2025-12-11,20,mild,17.54
2025-12-11 21:00:00,16.8,50,3.9,2025-12-11,21,mild,15.8
2025-12-11 22:00:00,15.6,53,2.2,2025-12-11,22,mild,14.54
2025-12-11 23:00:00,14.5,54,2.1,2025-12-11,23,mild,13.42
